,Compound,left,right,TRAN,LMD
0,aboveground,above,ground,6.2,4.0
1,airbase,air,base,4.266666666666667,5.866666666666666
2,airborne,air,borne,3.857142857142857,3.1333333333333333
3,aircraft,air,craft,4.533333333333333,4.266666666666667
4,airfield,air,field,4.333333333333333,5.714285714285714
5,airflow,air,flow,6.0,4.866666666666666
6,airlift,air,lift,5.333333333333333,5.533333333333333
7,airline,air,line,3.0714285714285716,3.3333333333333335
8,airmail,air,mail,5.4,6.714285714285714
9,airplane,air,plane,5.733333333333333,5.6
10,airport,air,port,4.214285714285714,5.266666666666667
11,airsick,air,sick,4.416666666666667,6.466666666666667
12,airspace,air,space,5.538461538461538,4.857142857142857
13,airstrip,air,strip,3.6153846153846154,5.6
14,airtight,air,tight,5.0,5.066666666666666
15,alongside,along,side,5.571428571428571,4.666666666666667
16,anchorman,anchor,man,3.2666666666666666,6.4
17,awesome,awe,some,3.2142857142857144,2.533333333333333
18,awestruck,awe,struck,5.0,3.2666666666666666
19,backache,back,ache,6.428571428571429,5.2
20,backbone,back,bone,6.285714285714286,4.733333333333333
21,backdrop,back,drop,3.4615384615384617,3.1333333333333333
22,backfire,back,fire,3.642857142857143,4.357142857142857
23,background,back,ground,3.5,3.6
24,backhand,back,hand,4.857142857142857,5.066666666666666
25,backlash,back,lash,3.7142857142857144,6.0
26,backless,back,less,3.642857142857143,3.066666666666667
27,backlog,back,log,2.909090909090909,4.8
28,backpack,back,pack,6.0,5.333333333333333
29,backseat,back,seat,6.071428571428571,6.4
30,backside,back,side,5.133333333333334,3.8
31,backslide,back,slide,3.3333333333333335,4.75
32,backstage,back,stage,5.714285714285714,5.533333333333333
33,backstroke,back,stroke,4.933333333333334,6.333333333333333
34,backtrack,back,track,5.071428571428571,3.6666666666666665
35,backup,back,up,3.7333333333333334,4.2
36,backwash,back,wash,3.5,5.2
37,backwater,back,water,3.272727272727273,5.916666666666667
38,backyard,back,yard,5.8,5.666666666666667
39,bagpipe,bag,pipe,4.461538461538462,5.933333333333334
40,banknote,bank,note,5.0,5.4
41,bankroll,bank,roll,3.533333333333333,3.857142857142857
42,basketball,basket,ball,5.642857142857143,6.266666666666667
43,batman,bat,man,4.857142857142857,5.666666666666667
44,bearskin,bear,skin,6.2,5.133333333333334
45,beefsteak,beef,steak,5.8,5.357142857142857
46,beehive,bee,hive,5.6,5.866666666666666
47,beeline,bee,line,3.2142857142857144,6.928571428571429
48,beetroot,beet,root,5.363636363636363,4.733333333333333
49,beforehand,before,hand,3.6,2.2666666666666666
50,bellboy,bell,boy,3.6153846153846154,7.0
51,bellhop,bell,hop,2.5,4.071428571428571
52,bittersweet,bitter,sweet,4.928571428571429,4.6
53,blindfold,blind,fold,3.933333333333333,2.8666666666666667
54,boardroom,board,room,4.8,6.333333333333333
55,boardwalk,board,walk,4.4,6.133333333333334
56,bodyguard,body,guard,5.642857142857143,7.266666666666667
57,borderline,border,line,5.769230769230769,3.533333333333333
58,bottleneck,bottle,neck,4.6,4.933333333333334
59,boyfriend,boy,friend,5.733333333333333,4.4
60,boyhood,boy,hood,3.642857142857143,1.8666666666666667
61,briefcase,brief,case,3.933333333333333,7.066666666666666
62,broomstick,broom,stick,6.2,4.0
63,brotherhood,brother,hood,4.0,2.0
64,brownstone,brown,stone,4.090909090909091,5.933333333333334
65,bulletproof,bullet,proof,5.533333333333333,4.733333333333333
66,bumpkin,bump,kin,1.6,6.166666666666667
67,businesslike,business,like,5.0,2.3333333333333335
68,businessman,business,man,5.857142857142857,3.533333333333333
69,busybody,busy,body,4.0,3.2
70,buttonhole,button,hole,5.642857142857143,4.733333333333333
71,calfskin,calf,skin,5.166666666666667,5.666666666666667
72,campfire,camp,fire,5.928571428571429,6.666666666666667
73,campground,camp,ground,5.571428571428571,3.8
74,campsite,camp,site,5.857142857142857,3.8666666666666667
75,cannonball,cannon,ball,6.266666666666667,5.066666666666666
